Date,Rank,Member,Points,Joined Date
2025-06-22,1st,KoolKid6958,2703343881,"December 19th, 2023"
2025-06-22,2nd,somasimple,365551956,"September 5th, 2023"
2025-06-22,3rd,lxne,186499987,"August 31st, 2023"
2025-06-22,4th,Wildbill,181268535,"September 8th, 2023"
2025-06-22,5th,lukemcc,148689178,"April 18th, 2025"
2025-06-22,6th,dovewars,141433461,"September 3rd, 2023"
2025-06-22,7th,Godhand,127391116,"September 23rd, 2024"
2025-06-22,8th,Mystixxz,123556199,"October 12th, 2024"
2025-06-22,9th,pixelfx,86346252,"October 20th, 2024"
2025-06-22,10th,monil123,70532692,"January 7th, 2025"
2025-06-22,11th,KatohSora2,59181243,"January 3rd, 2025"
2025-06-22,12th,Ginnypig,43483815,"September 1st, 2023"
2025-06-22,13th,sprogis,40180379,"April 25th, 2025"
2025-06-22,14th,greenboxer,32594807,"February 16th, 2025"
2025-06-22,15th,Ednyan,27468620,"May 8th, 2025"
2025-06-22,16th,Ahmad4987,19248229,"August 14th, 2024"
2025-06-22,17th,buddhapundit,10827967,"April 13th, 2025"
2025-06-22,18th,slingshotato,10736253,"February 4th, 2025"
2025-06-22,19th,Danycool,7721944,"April 29th, 2025"
2025-06-22,20th,ibrahimessam101,6723196,"May 27th, 2025"
2025-06-22,21st,Bbob,6290593,"June 16th, 2025"
2025-06-22,22nd,Pigmej,5264220,"June 11th, 2025"
2025-06-22,23rd,Mikurochi,5021453,"June 5th, 2025"
2025-06-22,24th,metatomato,4160509,"June 15th, 2025"
2025-06-22,25th,posh_sugioka,2773609,"June 12th, 2025"
2025-06-22,26th,akshituwu,608932,"June 18th, 2025"
2025-06-22,27th,binyam,312792,"June 7th, 2025"
2025-06-22,28th,3Dman,0,"June 18th, 2025"
2025-06-22,29th,udgajjar,0,"June 22nd, 2025"
